text,emotion
i feel really happy today,happiness
today was a great day,happiness
i am feeling joyful,happiness
i feel amazing,happiness
i am very excited,happiness
this made me smile,happiness
i feel good about myself,happiness
i am in a great mood,happiness
i feel positive today,happiness
i enjoyed my day,happiness
i feel grateful,happiness
i feel proud of myself,happiness
i feel relaxed and happy,happiness
everything feels right,happiness
i feel content,happiness
i had a wonderful time,happiness
i feel optimistic,happiness
i feel cheerful,happiness
i am feeling blessed,happiness
life feels good,happiness
i feel so excited about the future,happiness
today was absolutely wonderful,happiness
i feel full of energy and joy,happiness
i am so happy i could cry,happiness
things are going really well for me,happiness
i love how my life is going,happiness
i feel so lucky today,happiness
i passed my exam and i am thrilled,happiness
my family made me feel so loved today,happiness
i got great news and i am overjoyed,happiness
i feel accomplished and proud,happiness
today i achieved something i worked hard for,happiness
i feel alive and full of hope,happiness
spending time with friends made me so happy,happiness
i feel peaceful and joyful,happiness
everything worked out better than expected,happiness
i feel motivated and inspired today,happiness
i am enjoying every moment of today,happiness
i feel like things are finally falling into place,happiness
i received a compliment that made my day,happiness
i feel confident and ready,happiness
i woke up feeling great and grateful,happiness
today was one of the best days of my life,happiness
i feel satisfaction in what i have accomplished,happiness
i am smiling for no reason at all,happiness
i feel warmth and happiness around me,happiness
i feel full of love and appreciation,happiness
i feel thrilled about what is coming next,happiness
i had a breakthrough today and i feel wonderful,happiness
i feel uplifted and energized,happiness
i feel very sad today,sadness
i feel down,sadness
i am feeling depressed,sadness
i feel lonely,sadness
today was a bad day,sadness
i feel hopeless,sadness
i feel empty,sadness
i feel hurt,sadness
i feel like crying,sadness
i feel disappointed,sadness
i am feeling low,sadness
i feel tired of everything,sadness
i feel miserable,sadness
i feel lost,sadness
i feel broken,sadness
nothing feels right,sadness
i feel weak,sadness
i feel rejected,sadness
i feel unmotivated,sadness
i feel drained,sadness
i am not happy today,sadness
i do not feel good at all,sadness
i dont feel like doing anything,sadness
i am not okay,sadness
i do not feel loved,sadness
i dont feel excited anymore,sadness
i am not doing well,sadness
things are not going well for me,sadness
i do not see the point in anything,sadness
i cant find any reason to smile today,sadness
i miss someone i lost and it hurts,sadness
i feel like nobody understands me,sadness
i feel invisible and forgotten,sadness
i feel like i have failed,sadness
i am heartbroken and i dont know what to do,sadness
i feel like giving up,sadness
i cried myself to sleep last night,sadness
i feel numb and disconnected from everything,sadness
i feel like things will never get better,sadness
everything reminds me of what i have lost,sadness
i feel so alone even when surrounded by people,sadness
i feel like a burden to everyone around me,sadness
i have been feeling sad for a long time,sadness
i feel devastated by what happened,sadness
i feel grief and pain that wont go away,sadness
i lost something important and i am struggling,sadness
i feel worthless and unimportant,sadness
i feel completely defeated today,sadness
i feel like there is no light at the end,sadness
i feel stuck and unable to move forward,sadness
i feel anxious today,anxiety
i am feeling nervous,anxiety
i feel worried,anxiety
i feel stressed out,anxiety
i feel uneasy,anxiety
i feel overwhelmed,anxiety
i feel tense,anxiety
i am afraid of what will happen,anxiety
i feel pressure,anxiety
i feel restless,anxiety
i feel scared,anxiety
i feel insecure,anxiety
i feel uncertain,anxiety
i am overthinking,anxiety
i feel panic,anxiety
i feel uncomfortable,anxiety
i feel shaky,anxiety
i feel on edge,anxiety
i feel confused and worried,anxiety
i feel fear,anxiety
i cannot sleep because i keep worrying,anxiety
i am so worried about my exam tomorrow,anxiety
i keep thinking about what could go wrong,anxiety
my mind wont stop racing with worries,anxiety
i feel anxious about the future,anxiety
i am terrified of making the wrong decision,anxiety
i feel like something bad is about to happen,anxiety
i have so much pressure and i cannot handle it,anxiety
i feel like i am losing control,anxiety
my heart is racing and i dont know why,anxiety
i keep having anxious thoughts i cannot stop,anxiety
i am worried about things i cannot control,anxiety
i feel a constant sense of dread,anxiety
i feel like everything could fall apart at any moment,anxiety
i am scared of what people think of me,anxiety
i feel nervous before every social situation,anxiety
i am overwhelmed by all my responsibilities,anxiety
i cannot concentrate because of my anxiety,anxiety
i feel like the worst possible outcome will happen,anxiety
i am stressed about money and the future,anxiety
i feel a knot in my stomach all the time,anxiety
i wake up feeling worried without knowing why,anxiety
i keep replaying worst case scenarios in my head,anxiety
i am afraid of disappointing the people i care about,anxiety
i feel like i am not enough and it scares me,anxiety
i feel paralyzed by all the things i need to do,anxiety
i am nervous and cannot calm down,anxiety
i feel like something is always about to go wrong,anxiety
i cannot stop worrying no matter how hard i try,anxiety
i feel constant tension and stress in my body,anxiety
i feel angry today,anger
i am very mad,anger
i feel frustrated,anger
i feel irritated,anger
i feel annoyed,anger
i feel rage,anger
i feel upset,anger
i feel furious,anger
i feel disrespected,anger
i feel attacked,anger
i feel aggressive,anger
i feel heated,anger
i feel bothered,anger
